2021-06-07 12:53:45.340 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:45.344 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=33&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:45.344 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:45.849 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:46.022 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:46.262 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=34&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:46.263 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:47.074 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:47.074 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:47.076 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=35&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:47.076 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:47.697 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:47.697 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:47.848 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=36&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:47.849 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:48.813 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:48.814 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:48.815 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=37&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:48.815 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:49.760 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:49.761 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:50.031 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=38&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:50.031 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:50.653 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:50.653 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:50.814 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=39&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:50.814 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:51.301 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:51.302 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
